"Informe de estadísticas de uso de OJS"
"Informe de estadísticas de uso de OJS predeterminado (COUNTER preparado)"
"Métrica: ojs::counter"
"Dirección URL del informe: http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=assoc_type&columns[]=submission_id&columns[]=issue_id&columns[]=country_id&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22257%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A3%3A%22day%22%3Ba%3A2%3A%7Bs%3A4%3A%22from%22%3Bs%3A8%3A%2220180101%22%3Bs%3A2%3A%22to%22%3Bs%3A8%3A%2220180709%22%3B%7D%7D"

,Tipo,Texto,Número,País,Mes,Total
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,,201806,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,AR,201801,2
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,AT,201802,2
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,AT,201803,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,AT,201804,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,AT,201805,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,BR,201801,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,CL,201803,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,CZ,201803,3
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,DE,201804,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,DE,201806,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,EC,201806,1
