"Informe de estadísticas de uso de OJS"
"Informe de estadísticas de uso de OJS predeterminado (COUNTER preparado)"
"Métrica: ojs::counter"
"Dirección URL del informe: http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=assoc_type&columns[]=context_id&columns[]=country_id&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22256%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A3%3A%22day%22%3Ba%3A2%3A%7Bs%3A4%3A%22from%22%3Bs%3A8%3A%2220180101%22%3Bs%3A2%3A%22to%22%3Bs%3A8%3A%2220180709%22%3B%7D%7D"

,Tipo,Revista,País,Mes,Total
,Revista,"Estudios Demográficos y Urbanos",,201801,149
,Revista,"Estudios Demográficos y Urbanos",,201802,157
,Revista,"Estudios Demográficos y Urbanos",,201803,84
,Revista,"Estudios Demográficos y Urbanos",,201804,229
,Revista,"Estudios Demográficos y Urbanos",,201805,249
,Revista,"Estudios Demográficos y Urbanos",,201806,178
,Revista,"Estudios Demográficos y Urbanos",,201807,40
,Revista,"Estudios Demográficos y Urbanos",A1,201805,1
,Revista,"Estudios Demográficos y Urbanos",AE,201801,5
,Revista,"Estudios Demográficos y Urbanos",AE,201803,12
,Revista,"Estudios Demográficos y Urbanos",AE,201804,3
,Revista,"Estudios Demográficos y Urbanos",AE,201805,2
,Revista,"Estudios Demográficos y Urbanos",AE,201806,2
,Revista,"Estudios Demográficos y Urbanos",AL,201801,5
,Revista,"Estudios Demográficos y Urbanos",AL,201803,3
,Revista,"Estudios Demográficos y Urbanos",AL,201805,1
,Revista,"Estudios Demográficos y Urbanos",AM,201802,1
,Revista,"Estudios Demográficos y Urbanos",AM,201803,1
,Revista,"Estudios Demográficos y Urbanos",AM,201804,1
,Revista,"Estudios Demográficos y Urbanos",AO,201801,4
,Revista,"Estudios Demográficos y Urbanos",AO,201804,1
,Revista,"Estudios Demográficos y Urbanos",AP,201801,1
,Revista,"Estudios Demográficos y Urbanos",AP,201802,1
,Revista,"Estudios Demográficos y Urbanos",AP,201803,1
,Revista,"Estudios Demográficos y Urbanos",AR,201801,145
,Revista,"Estudios Demográficos y Urbanos",AR,201802,97
,Revista,"Estudios Demográficos y Urbanos",AR,201803,145
,Revista,"Estudios Demográficos y Urbanos",AR,201804,159
,Revista,"Estudios Demográficos y Urbanos",AR,201805,128
,Revista,"Estudios Demográficos y Urbanos",AR,201806,112
,Revista,"Estudios Demográficos y Urbanos",AR,201807,30
,Revista,"Estudios Demográficos y Urbanos",AT,201803,1
,Revista,"Estudios Demográficos y Urbanos",AT,201804,1
,Revista,"Estudios Demográficos y Urbanos",AT,201806,1
,Revista,"Estudios Demográficos y Urbanos",AU,201801,12
,Revista,"Estudios Demográficos y Urbanos",AU,201802,12
,Revista,"Estudios Demográficos y Urbanos",AU,201803,19
,Revista,"Estudios Demográficos y Urbanos",AU,201804,14
,Revista,"Estudios Demográficos y Urbanos",AU,201805,15
,Revista,"Estudios Demográficos y Urbanos",AU,201806,9
,Revista,"Estudios Demográficos y Urbanos",AU,201807,3
,Revista,"Estudios Demográficos y Urbanos",BA,201801,1
,Revista,"Estudios Demográficos y Urbanos",BA,201802,2
,Revista,"Estudios Demográficos y Urbanos",BA,201803,1
,Revista,"Estudios Demográficos y Urbanos",BA,201804,1
,Revista,"Estudios Demográficos y Urbanos",BA,201806,1
,Revista,"Estudios Demográficos y Urbanos",BB,201803,1
,Revista,"Estudios Demográficos y Urbanos",BD,201801,3
,Revista,"Estudios Demográficos y Urbanos",BD,201802,2
,Revista,"Estudios Demográficos y Urbanos",BD,201804,2
,Revista,"Estudios Demográficos y Urbanos",BE,201801,3
,Revista,"Estudios Demográficos y Urbanos",BE,201803,4
,Revista,"Estudios Demográficos y Urbanos",BE,201804,1
,Revista,"Estudios Demográficos y Urbanos",BE,201805,2
,Revista,"Estudios Demográficos y Urbanos",BE,201806,1
,Revista,"Estudios Demográficos y Urbanos",BG,201802,2
,Revista,"Estudios Demográficos y Urbanos",BH,201803,1
,Revista,"Estudios Demográficos y Urbanos",BH,201804,3
,Revista,"Estudios Demográficos y Urbanos",BJ,201805,1
,Revista,"Estudios Demográficos y Urbanos",BN,201801,1
,Revista,"Estudios Demográficos y Urbanos",BO,201801,5
,Revista,"Estudios Demográficos y Urbanos",BO,201802,11
,Revista,"Estudios Demográficos y Urbanos",BO,201803,13
,Revista,"Estudios Demográficos y Urbanos",BO,201804,5
,Revista,"Estudios Demográficos y Urbanos",BO,201805,4
,Revista,"Estudios Demográficos y Urbanos",BO,201806,5
,Revista,"Estudios Demográficos y Urbanos",BR,201801,32
,Revista,"Estudios Demográficos y Urbanos",BR,201802,32
,Revista,"Estudios Demográficos y Urbanos",BR,201803,36
,Revista,"Estudios Demográficos y Urbanos",BR,201804,39
,Revista,"Estudios Demográficos y Urbanos",BR,201805,37
,Revista,"Estudios Demográficos y Urbanos",BR,201806,26
,Revista,"Estudios Demográficos y Urbanos",BR,201807,4
,Revista,"Estudios Demográficos y Urbanos",BY,201802,1
,Revista,"Estudios Demográficos y Urbanos",BY,201803,1
,Revista,"Estudios Demográficos y Urbanos",BY,201805,3
,Revista,"Estudios Demográficos y Urbanos",BY,201806,3
,Revista,"Estudios Demográficos y Urbanos",CA,201801,14
,Revista,"Estudios Demográficos y Urbanos",CA,201802,12
,Revista,"Estudios Demográficos y Urbanos",CA,201803,15
,Revista,"Estudios Demográficos y Urbanos",CA,201804,12
,Revista,"Estudios Demográficos y Urbanos",CA,201805,19
,Revista,"Estudios Demográficos y Urbanos",CA,201806,11
,Revista,"Estudios Demográficos y Urbanos",CA,201807,3
,Revista,"Estudios Demográficos y Urbanos",CH,201801,1
,Revista,"Estudios Demográficos y Urbanos",CH,201802,1
,Revista,"Estudios Demográficos y Urbanos",CH,201803,1
,Revista,"Estudios Demográficos y Urbanos",CH,201805,1
,Revista,"Estudios Demográficos y Urbanos",CI,201805,1
,Revista,"Estudios Demográficos y Urbanos",CI,201806,2
,Revista,"Estudios Demográficos y Urbanos",CL,201801,56
,Revista,"Estudios Demográficos y Urbanos",CL,201802,37
,Revista,"Estudios Demográficos y Urbanos",CL,201803,75
,Revista,"Estudios Demográficos y Urbanos",CL,201804,78
,Revista,"Estudios Demográficos y Urbanos",CL,201805,49
,Revista,"Estudios Demográficos y Urbanos",CL,201806,46
,Revista,"Estudios Demográficos y Urbanos",CL,201807,11
,Revista,"Estudios Demográficos y Urbanos",CN,201801,25
,Revista,"Estudios Demográficos y Urbanos",CN,201802,42
,Revista,"Estudios Demográficos y Urbanos",CN,201803,50
,Revista,"Estudios Demográficos y Urbanos",CN,201804,67
,Revista,"Estudios Demográficos y Urbanos",CN,201805,43
,Revista,"Estudios Demográficos y Urbanos",CN,201806,83
,Revista,"Estudios Demográficos y Urbanos",CN,201807,20
,Revista,"Estudios Demográficos y Urbanos",CO,201801,67
,Revista,"Estudios Demográficos y Urbanos",CO,201802,59
,Revista,"Estudios Demográficos y Urbanos",CO,201803,83
,Revista,"Estudios Demográficos y Urbanos",CO,201804,100
,Revista,"Estudios Demográficos y Urbanos",CO,201805,97
,Revista,"Estudios Demográficos y Urbanos",CO,201806,60
,Revista,"Estudios Demográficos y Urbanos",CO,201807,15
,Revista,"Estudios Demográficos y Urbanos",CR,201801,6
,Revista,"Estudios Demográficos y Urbanos",CR,201802,4
,Revista,"Estudios Demográficos y Urbanos",CR,201803,9
,Revista,"Estudios Demográficos y Urbanos",CR,201804,10
,Revista,"Estudios Demográficos y Urbanos",CR,201805,3
,Revista,"Estudios Demográficos y Urbanos",CR,201806,9
,Revista,"Estudios Demográficos y Urbanos",CR,201807,2
,Revista,"Estudios Demográficos y Urbanos",CU,201801,3
,Revista,"Estudios Demográficos y Urbanos",CU,201803,1
,Revista,"Estudios Demográficos y Urbanos",CU,201804,2
,Revista,"Estudios Demográficos y Urbanos",CU,201805,1
,Revista,"Estudios Demográficos y Urbanos",CY,201802,1
,Revista,"Estudios Demográficos y Urbanos",CZ,201801,3
,Revista,"Estudios Demográficos y Urbanos",CZ,201802,1
,Revista,"Estudios Demográficos y Urbanos",CZ,201803,5
,Revista,"Estudios Demográficos y Urbanos",CZ,201804,3
,Revista,"Estudios Demográficos y Urbanos",CZ,201806,1
,Revista,"Estudios Demográficos y Urbanos",DE,201801,58
,Revista,"Estudios Demográficos y Urbanos",DE,201802,25
,Revista,"Estudios Demográficos y Urbanos",DE,201803,16
,Revista,"Estudios Demográficos y Urbanos",DE,201804,20
,Revista,"Estudios Demográficos y Urbanos",DE,201805,30
