"Informe de estadísticas de uso de OJS"
"Informe de estadísticas de uso de OJS predeterminado (COUNTER preparado)"
"Métrica: ojs::counter"
"Dirección URL del informe: http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=assoc_type&columns[]=issue_id&columns[]=country_id&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22259%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A3%3A%22day%22%3Ba%3A2%3A%7Bs%3A4%3A%22from%22%3Bs%3A8%3A%2220180101%22%3Bs%3A2%3A%22to%22%3Bs%3A8%3A%2220180709%22%3B%7D%7D"

,Tipo,Número,País,Mes,Total
,Número,60,,201804,3
,Número,60,,201805,2
,Número,60,,201807,20
,Número,60,AR,201801,1
,Número,60,AT,201802,1
,Número,60,AT,201803,1
,Número,60,AT,201804,1
,Número,60,AT,201805,1
,Número,60,BO,201803,4
,Número,60,CZ,201803,1
,Número,60,ES,201801,1
,Número,60,FR,201802,3
,Número,60,FR,201804,2
,Número,60,GB,201801,2
,Número,60,IT,201801,1
,Número,60,MX,201801,4
,Número,60,MX,201804,2
,Número,60,MX,201806,4
,Número,60,MX,201807,5
,Número,60,US,201801,14
,Número,60,US,201802,14
,Número,60,US,201803,16
,Número,60,US,201804,5
,Número,60,US,201805,3
,Número,60,US,201806,9
,Número,60,US,201807,1
,Número,60,VN,201806,1
,Número,59,,201805,2
,Número,59,,201806,3
,Número,59,,201807,2
,Número,59,AR,201801,1
,Número,59,AT,201802,1
,Número,59,AT,201803,2
,Número,59,AT,201804,1
,Número,59,AT,201805,1
,Número,59,CA,201805,1
,Número,59,CZ,201803,1
,Número,59,FR,201801,2
,Número,59,FR,201802,3
,Número,59,FR,201804,1
,Número,59,GB,201801,1
,Número,59,GB,201804,1
,Número,59,MX,201801,2
,Número,59,MX,201804,2
,Número,59,MX,201806,1
,Número,59,MX,201807,3
,Número,59,US,201801,12
,Número,59,US,201802,14
,Número,59,US,201803,18
,Número,59,US,201804,4
,Número,59,US,201805,1
,Número,59,US,201806,7
,Número,59,US,201807,1
,Número,59,VN,201806,1
,Número,58,,201807,1
,Número,58,AR,201801,1
,Número,58,CZ,201803,1
,Número,58,FR,201801,2
,Número,58,FR,201804,1
,Número,58,GB,201801,1
,Número,58,GB,201802,1
,Número,58,GB,201804,1
,Número,58,IT,201802,2
,Número,58,MX,201804,2
,Número,58,MX,201805,1
,Número,58,MX,201806,1
,Número,58,US,201801,15
,Número,58,US,201802,14
,Número,58,US,201803,16
,Número,58,US,201804,4
,Número,58,US,201805,4
,Número,58,US,201806,5
,Número,58,US,201807,1
,Número,58,VN,201806,1
,Número,93,,201803,1
,Número,93,,201804,13
,Número,93,,201805,8
,Número,93,AR,201801,3
,Número,93,AR,201802,3
,Número,93,AR,201803,1
,Número,93,AR,201805,1
,Número,93,AR,201806,2
,Número,93,AT,201802,1
,Número,93,AT,201803,1
,Número,93,AT,201804,1
,Número,93,AT,201805,1
,Número,93,BR,201801,1
,Número,93,BR,201803,1
,Número,93,CL,201803,1
,Número,93,CL,201804,8
,Número,93,CZ,201803,1
,Número,93,DE,201805,1
,Número,93,ES,201803,1
,Número,93,ES,201805,10
,Número,93,FR,201801,4
,Número,93,FR,201802,2
,Número,93,FR,201804,1
,Número,93,HN,201802,1
,Número,93,HT,201804,1
,Número,93,IN,201801,1
,Número,93,IT,201802,1
,Número,93,KR,201805,1
,Número,93,MX,201801,11
,Número,93,MX,201802,23
,Número,93,MX,201803,17
,Número,93,MX,201804,24
,Número,93,MX,201805,44
,Número,93,MX,201806,17
,Número,93,MX,201807,4
,Número,93,PE,201802,1
,Número,93,PE,201805,1
,Número,93,PT,201803,1
,Número,93,US,201801,20
,Número,93,US,201802,27
,Número,93,US,201803,26
,Número,93,US,201804,19
,Número,93,US,201805,5
,Número,93,US,201806,9
,Número,93,US,201807,1
,Número,93,VN,201806,1
,Número,3,,201806,1
,Número,3,AR,201801,1
,Número,3,AT,201802,1
,Número,3,AT,201803,2
,Número,3,AT,201804,1
,Número,3,AT,201805,1
,Número,3,CR,201802,1
,Número,3,CZ,201803,1
,Número,3,FR,201801,3
,Número,3,FR,201802,2
,Número,3,FR,201804,2
,Número,3,GB,201802,1
,Número,3,MX,201801,2
,Número,3,MX,201802,3
,Número,3,MX,201803,2
,Número,3,MX,201804,2
,Número,3,MX,201805,3
,Número,3,MX,201806,2
,Número,3,US,201801,12
,Número,3,US,201802,16
,Número,3,US,201803,18
,Número,3,US,201804,3
,Número,3,US,201805,3
,Número,3,US,201806,5
,Número,3,VN,201806,1
,Número,1,,201802,4
,Número,1,,201803,7
,Número,1,,201804,6
